,n,Mean,sd,Median,Min,Max,Range,Skew,Kurtosis,SE
Danceability,1402,0.651,0.135,0.666,0.19,0.975,0.785,-0.41,-0.168,0.004
Energy,1402,0.717,0.148,0.731,0.142,0.993,0.851,-0.738,0.488,0.004
Loudness,1402,-5.594,1.933,-5.379,-18.519,-0.916,17.603,-1.198,3.726,0.052
Speechness,1402,0.078,0.071,0.05,0.022,0.56,0.538,2.627,8.307,0.002
Acousticness,1402,0.171,0.198,0.089,0,0.945,0.945,1.577,2.05,0.005
Instrumentalness ,1402,0.014,0.089,0,0,0.887,0.887,7.777,62.494,0.002
Liveness,1402,0.175,0.14,0.12,0.025,0.971,0.946,2.463,7.657,0.004
Valence,1402,0.542,0.228,0.544,0.038,0.978,0.94,-0.034,-0.936,0.006
Tempo,1402,120,25.6,120.1,59.6,217.6,158,0.6,0.4,0.7
Key,1402,5.364,3.648,6,0,11,11,-0.026,-1.283,0.097
Mode,1402,0.566,0.496,1,0,1,1,-0.264,-1.931,0.013
Duration,1402,221138.6,38510.3,216940,134413,484147,349734,1.2,4.1,1028.5
