,n,Mean,sd,Median,Min,Max,Range,Skew,Kurtosis,SE
Danceability,8168,0.625,0.166,0.653,0,0.975,0.975,-0.737,0.231,0.002
Energy,8168,0.66,0.223,0.709,0.003,0.999,0.996,-0.935,0.297,0.002
Loudness,8168,-7.412,4.415,-6.235,-38.457,0.095,38.552,-2.217,6.141,0.049
Speechness,8168,0.099,0.099,0.056,0,0.84,0.84,2.261,5.807,0.001
Acousticness,8168,0.268,0.31,0.124,0,0.996,0.996,1.154,0.012,0.003
Instrumentalness,8168,0.075,0.214,0,0,0.995,0.995,3.023,7.874,0.002
Liveness,8168,0.201,0.169,0.132,0.011,0.998,0.987,2.101,4.928,0.002
Valence,8168,0.508,0.253,0.513,0,0.991,0.991,-0.051,-1.002,0.003
Tempo,8168,119.7,26.7,121.9,0,244.6,244.6,0.5,0.4,0.3
Key,8168,5.308,3.596,5,0,11,11,-0.013,-1.29,0.04
Mode,8168,0.576,0.494,1,0,1,1,-0.308,-1.906,0.005
Duration,8168,222531.2,87332.3,210400,16405,3800271,3783866,11.3,377.9,966.3
