,playlistID,TrackName,TrackID,SampleURL,ReleaseYear,Genres,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,key,mode,duration_ms,Popularity
1,4XUW6FCXIqh3mBpzkNTGUt,Solo a oscuras,4KxrqJ4iYJZNOq6Uo0ybAT,https://p.scdn.co/mp3-preview/d662bbc31804853b5e8957906c6c2ec20a2f33ce?cid=e6a77915d1ff4ea8ba6a2b2025712ac9,01/04/2021,[unknown],0.654,0.336,-18.519,0.203,0.176,0,0.242,0.399,91.037,2,1,211009,0
2,4XUW6FCXIqh3mBpzkNTGUt,History of a Dream,54NRFL8piO1Gl5Sc7LVArg,https://p.scdn.co/mp3-preview/4cb6a401b23ab2ae6af7dacf9abd956a23ecb356?cid=e6a77915d1ff4ea8ba6a2b2025712ac9,01/01/2012,[unknown],0.554,0.541,-9.729,0.0386,0.00273,0.829,0.333,0.938,120.306,4,0,291480,0
3,4XUW6FCXIqh3mBpzkNTGUt,Arrisca,3BwHbXwFKepzKtKd0FxjvG,https://p.scdn.co/mp3-preview/349f4416fb30f1e8c0992fac6067d38982cc3b72?cid=e6a77915d1ff4ea8ba6a2b2025712ac9,2014,[unknown],0.727,0.881,-5.766,0.0705,0.307,0,0.114,0.684,103.026,9,1,256120,0
4,4XUW6FCXIqh3mBpzkNTGUt,Tu Lo Sai,10TAdHfdBw3ymrYwo5NMae,https://p.scdn.co/mp3-preview/eaed782d6bd6b41687b61bb61aa2822605ca655b?cid=e6a77915d1ff4ea8ba6a2b2025712ac9,07/02/2010,[unknown],0.257,0.379,-7.256,0.0296,0.171,0,0.106,0.242,173.755,7,1,245920,0
5,4XUW6FCXIqh3mBpzkNTGUt,"Thoiry Remix (Samba Trap Vol. 3 - Mitraglia Rec) (feat. Gemitaiz, Quentin40 & Puritano)",1YTw1eDNxBn0sO78sDPkvr,,24/01/2018,"['italian hip hop', 'italian indie pop', 'italian pop']",0.7,0.802,-4.637,0.257,0.0386,0,0.331,0.595,123.849,7,1,174919,0
6,4XUW6FCXIqh3mBpzkNTGUt,Il mio amore unico - Originally Performed By Dolcenera,4Ua4NyZDW4aCBC1IGHjJb0,,31/07/2010,[unknown],0.714,0.49,-6.068,0.0337,0.00096,0.726,0.0998,0.527,126.006,5,1,228754,0
7,4XUW6FCXIqh3mBpzkNTGUt,Damela Si - Radio Edit,0GjE7Dn51f7CPbMGqD2ieJ,,01/01/2007,['spanish pop rock'],0.663,0.807,-4.837,0.0304,0.000895,0.00899,0.153,0.964,126.987,8,0,204493,0
8,4XUW6FCXIqh3mBpzkNTGUt,Nothing At All - Radio Edit,1FSycH8Wry3PmPGA1Kocez,https://p.scdn.co/mp3-preview/163c12d141cae60304eaa7680103640d5515778b?cid=e6a77915d1ff4ea8ba6a2b2025712ac9,01/01/2007,[unknown],0.536,0.848,-3.757,0.0532,0.271,1.53E-06,0.123,0.738,121.929,5,0,220307,2
9,4XUW6FCXIqh3mBpzkNTGUt,Fresco,2aO7k0xcFp5H1meXsLIysP,https://p.scdn.co/mp3-preview/0f62a94b68f4f835c6180d921ad1f784caecf8cc?cid=e6a77915d1ff4ea8ba6a2b2025712ac9,2007,['italian pop rock'],0.608,0.905,-3.53,0.0412,0.0569,0,0.167,0.783,100.12,6,0,203840,2
10,4XUW6FCXIqh3mBpzkNTGUt,In Italia,2cCaf2KlSvvcQ0yaUpbL2G,https://p.scdn.co/mp3-preview/363ae3a50474d99dcb8ae3cda601ea81f5f95b3b?cid=e6a77915d1ff4ea8ba6a2b2025712ac9,09/11/2007,"['italian hip hop', 'rap napoletano']",0.762,0.797,-6.09,0.324,0.211,0,0.502,0.57,82.038,10,0,219933,2
