,playlistID,TrackName,TrackID,SampleURL,ReleaseYear,Genres,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,key,mode,duration_ms,Popularity
0,6DjIRlc7hnwSYT3lf95eVy,Mein Zuhause - HBz Remix,2QkHym30n9xJlvQ7q98mFx,https://p.scdn.co/mp3-preview/a779bd453bcf1e95af0f5ce92af3510316dd975f?cid=e6a77915d1ff4ea8ba6a2b2025712ac9,2021-01-08,['german pop'],0.588,0.64,-6.823,0.0645,0.00287,3.67e-05,0.16,0.198,129.95,7,1,258038,44.0
1,6DjIRlc7hnwSYT3lf95eVy,Wake Up,2yRm4iT3ohO5WOay4l2H0q,https://p.scdn.co/mp3-preview/8d363a0e9f763a76893165ee02575533c6c8f846?cid=e6a77915d1ff4ea8ba6a2b2025712ac9,2015-03-31,"['hip hop', 'pop rap', 'rap']",0.689,0.798,-6.156,0.0717,0.0822,1.47e-05,0.107,0.0387,105.01,6,1,232960,60.0
2,6DjIRlc7hnwSYT3lf95eVy,Rituel,20uslwLwPPbdEODbgiLvPL,https://p.scdn.co/mp3-preview/bbe653815b61875dea534d4a15128603567c194f?cid=e6a77915d1ff4ea8ba6a2b2025712ac9,2018-02-02,"['french hip hop', 'pop urbaine', 'rap conscient']",0.71,0.683,-7.066,0.27,0.706,0.0,0.42,0.809,113.615,10,0,219493,40.0
3,6DjIRlc7hnwSYT3lf95eVy,Better,3jCMdvc8bFOKChETbFV9Zc,https://p.scdn.co/mp3-preview/38f976105efc3bea7af2e1981f8f76102bc0742e?cid=e6a77915d1ff4ea8ba6a2b2025712ac9,2019-12-06,"['eurovision', 'german pop']",0.712,0.664,-5.649,0.0467,0.147,0.0,0.244,0.537,149.997,1,0,200653,58.0
4,6DjIRlc7hnwSYT3lf95eVy,"La Luna e la Gatta (feat. Tommaso Paradiso, Jovanotti, Calcutta)",0swoHiwTazywpoqiKDUtGQ,https://p.scdn.co/mp3-preview/703009915b65974ab272cfa74468c2c6a0af6461?cid=e6a77915d1ff4ea8ba6a2b2025712ac9,2019-03-01,"['italian adult pop', 'italian pop']",0.765,0.701,-4.089,0.058,0.0579,0.0,0.334,0.758,103.998,11,0,191639,56.0
5,6DjIRlc7hnwSYT3lf95eVy,On reconnaît,1BxrHaFhSISl60awChRaFM,https://p.scdn.co/mp3-preview/007bce30518c06b7741e69c64322138d70589b93?cid=e6a77915d1ff4ea8ba6a2b2025712ac9,2016-06-05,"['french hip hop', 'pop urbaine', 'rap conscient', 'rap francais']",0.704,0.697,-6.134,0.088,0.285,0.0,0.354,0.66,120.145,5,1,260169,58.0
6,6DjIRlc7hnwSYT3lf95eVy,Keine Pause,0BbXvSdwgIqXdz0PIol1w7,https://p.scdn.co/mp3-preview/0d25437534dc7d64ca0b19f2257690f5dfb25c57?cid=e6a77915d1ff4ea8ba6a2b2025712ac9,2021-10-08,"['german hip hop', 'german pop']",0.49,0.834,-5.18,0.303,0.116,0.0,0.0958,0.345,129.59,10,0,169427,59.0
7,6DjIRlc7hnwSYT3lf95eVy,34+35,6Im9k8u9iIzKMrmV7BWtlF,https://p.scdn.co/mp3-preview/960b7fd2457d593ffdd5c1aba37a1b90c2095547?cid=e6a77915d1ff4ea8ba6a2b2025712ac9,2020-10-30,"['dance pop', 'pop']",0.83,0.585,-6.476,0.094,0.237,0.0,0.248,0.485,109.978,0,1,173711,82.0
8,6DjIRlc7hnwSYT3lf95eVy,Love Me,2XHzzp1j4IfTNp1FTn7YFg,https://p.scdn.co/mp3-preview/00f40b3604730defb62aad793b11e123d1905440?cid=e6a77915d1ff4ea8ba6a2b2025712ac9,2013-01-01,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']",0.669,0.634,-6.476,0.0327,0.0125,0.0,0.0946,0.496,124.906,11,1,255053,68.0
9,6DjIRlc7hnwSYT3lf95eVy,"Nique les clones, Pt. II",67obelIiEq3vhpkolCCzZR,https://p.scdn.co/mp3-preview/fb6459659a6794f30ba0c2649e9e9e111ee7f887?cid=e6a77915d1ff4ea8ba6a2b2025712ac9,2015-06-08,"['french hip hop', 'pop urbaine', 'rap conscient']",0.867,0.729,-5.309,0.0493,0.484,0.0,0.0938,0.708,119.999,2,0,224253,58.0
