,playlistID,TrackName,TrackID,SampleURL,ReleaseYear,Genres,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,key,mode,duration_ms,Popularity,hit
8219,4bcWQseNOLnxH4XUgpmgkQ,2%,0fxQwCPF7mg6241Bpu9hfH,https://p.scdn.co/mp3-preview/36799e98d5c524d2e640a567913df22d39707a0e?cid=f6c16355a53748e790f598a2bdb1ad10,18.12.20,['italian hip hop'],0.722,0.601,-6.788,0.448,0.237,0,0.151,0.577,82.025,5,0,211840,13,0
11814,4bcWQseNOLnxH4XUgpmgkQ,6:00 AM,3uvypVUsiIr1B0BccIcsEh,https://p.scdn.co/mp3-preview/d74c7b14e770817130e057064a803c644ae4f9ec?cid=f6c16355a53748e790f598a2bdb1ad10,29.09.13,"['latin', 'reggaeton', 'reggaeton colombiano', 'trap latino']",0.746,0.746,-5.046,0.102,0.152,0,0.274,0.733,175.965,5,0,243227,67,0
4557,4bcWQseNOLnxH4XUgpmgkQ,40%,47LFcy7prvEY5D08d26zOo,https://p.scdn.co/mp3-preview/0e1407e53c35669b83e391445da973ad720596a2?cid=f6c16355a53748e790f598a2bdb1ad10,25.10.19,"['basshall', 'francoton', 'pop urbaine']",0.841,0.693,-7.335,0.205,0.396,3.99E-06,0.133,0.678,92.021,11,1,174933,59,0
1566,6DjIRlc7hnwSYT3lf95eVy,19,3Gi5nk0bgPcPVgUK4nrBY8,https://p.scdn.co/mp3-preview/9772e4a38953bee32a8a6a9613c59500c307bb5a?cid=e6a77915d1ff4ea8ba6a2b2025712ac9,27.03.20,"['art pop', 'collage pop', 'escape room', 'experimental pop', 'outsider house', 'uk experimental electronic']",0.685,0.715,-9.647,0.365,0.369,0,0.526,0.697,140.625,1,0,160423,46,0
1537,6DjIRlc7hnwSYT3lf95eVy,69,73KH13G75L83PwZjLNdsSN,https://p.scdn.co/mp3-preview/00a7e8b98f421e82615a930b516717a9563fe7f4?cid=e6a77915d1ff4ea8ba6a2b2025712ac9,06.03.13,"['j-pop', 'j-poprock', 'j-rock', 'japanese emo', 'visual kei']",0.529,0.895,-5.485,0.0393,0.000513,0.00755,0.126,0.54,83.027,6,0,277400,36,0
11749,4bcWQseNOLnxH4XUgpmgkQ,120,3KJ3opyV29269SXkPrc19l,https://p.scdn.co/mp3-preview/582661b89f7a110b3c312fe5076dee369d1d7e65?cid=f6c16355a53748e790f598a2bdb1ad10,27.11.20,"['latin', 'reggaeton', 'trap latino']",0.636,0.656,-5.542,0.0676,0.451,7.97E-06,0.287,0.439,171.918,2,0,151506,80,0
9928,4bcWQseNOLnxH4XUgpmgkQ,212,5293zft7ji8XRTVSEEeGPc,https://p.scdn.co/mp3-preview/b8173994c3dcd8eef453ac7fbe1a9a5430801b52?cid=f6c16355a53748e790f598a2bdb1ad10,2012,"['dutch pop', 'dutch rock']",0.748,0.544,-6.032,0.0471,0.603,0,0.108,0.651,98.308,9,0,172240,1,0
8910,4bcWQseNOLnxH4XUgpmgkQ,357,6200HATyV7YdKFAHD3yAMv,https://p.scdn.co/mp3-preview/6a99622ffce723f0c15100338b55aea580a1e30b?cid=f6c16355a53748e790f598a2bdb1ad10,19.04.19,"['battle rap', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'harlem hip hop', 'hip hop', 'hip pop', 'pop rap', 'rap', 'southern hip hop', 'trap']",0.81,0.569,-11.92,0.376,0.0254,0,0.133,0.56,94.87,2,1,204667,15,0
6103,4bcWQseNOLnxH4XUgpmgkQ,911,7kGzRFB4zgFBgMROhpEqj4,https://p.scdn.co/mp3-preview/9e79c9f9b1c607558fcdacbe7b021cd713548d04?cid=f6c16355a53748e790f598a2bdb1ad10,22.10.20,"['art pop', 'dance pop', 'pop']",0.782,0.808,-4.576,0.0375,0.0278,1.34E-06,0.516,0.403,116,5,1,172133,19,0
4707,4bcWQseNOLnxH4XUgpmgkQ,1955,6oSmp7qnvAxUXeUKhl67a6,https://p.scdn.co/mp3-preview/86d14922b180785c30c5e1d267b86f7e6855af30?cid=f6c16355a53748e790f598a2bdb1ad10,19.02.16,"['australian hip hop', 'australian pop', 'pop rap']",0.766,0.5,-7.558,0.0695,0.719,5.91E-06,0.304,0.71,84.044,11,1,239280,63,0
440,6DjIRlc7hnwSYT3lf95eVy,1973,1BV0m40U0M4t1SLIsDnwZl,https://p.scdn.co/mp3-preview/009bd460c7ddd295cbf5aa5f038f551db4ac50a4?cid=e6a77915d1ff4ea8ba6a2b2025712ac9,17.09.07,"['neo mellow', 'pop', 'pop rock']",0.72,0.668,-7.928,0.0269,0.0652,0.00664,0.0789,0.768,123.007,9,1,280027,68,0
11515,4bcWQseNOLnxH4XUgpmgkQ,#1Nite (One Night),6GdPbbJKOg2jTfoVGp8Bsv,https://p.scdn.co/mp3-preview/8b279dcda5282672674f968d1b3c3c56659c9048?cid=f6c16355a53748e790f598a2bdb1ad10,31.05.19,"['dance pop', 'electropop', 'neon pop punk', 'pop punk', 'post-teen pop']",0.581,0.791,-4.854,0.111,0.0597,0,0.158,0.546,125.981,0,1,219067,0,0
9938,4bcWQseNOLnxH4XUgpmgkQ,#fail,5T2rD8a8lpkfdw4gh9XFPg,https://p.scdn.co/mp3-preview/30ccc561394f9e0d8b3d8afab6ff2f8d0410c0f2?cid=f6c16355a53748e790f598a2bdb1ad10,25.03.14,"['europop', 'swedish idol pop', 'swedish pop']",0.717,0.762,-5.085,0.0338,0.00895,0,0.0857,0.644,108.029,11,1,203427,23,0
